STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/1/71,,13,3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/2/71,,25,3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/3/71,,25,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/4/71,,24,19
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/5/71,,19,10
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/6/71,,15,2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/7/71,,7,-10
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/8/71,,4,-17
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/9/71,,12,-9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/10/71,,35,5
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/11/71,,41,29
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/12/71,,34,8
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/13/71,,19,2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/14/71,,32,17
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/15/71,,39,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/16/71,,38,33
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/17/71,,51,31
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/18/71,,44,39
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/19/71,,48,35
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/20/71,,35,31
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/21/71,,31,26
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/22/71,,29,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/23/71,,30,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/24/71,,35,10
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/25/71,,43,21
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/26/71,,44,34
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/27/71,,35,28
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",2/28/71,,35,20
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/1/71,,34,23
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/2/71,,26,16
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/3/71,,31,12
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/4/71,,46,18
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/5/71,,37,32
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",3/6/71,,33,27
